model,room_id,property_group,image_file,image_path,human_label,model_prediction,outcome,primary_subtype,evidence_tags,p_not_clean,human_reason
v1_frozen_136,A33 A single attach,A33,A33 A Single attach. .jpg,A33 A single attach/A33 A Single attach. .jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.000998,Tiles are clean with only a doormat; no visible housekeeping dirt or waste.
v1_frozen_136,A33 A single attach,A33,IMG_20260918_104751.jpg,A33 A single attach/IMG_20260918_104751.jpg,CLEAN,NOT_CLEAN,false_positive,clean,garbage_debris|scattered_bags,0.345428,Open floor clean with no debris; suitcase stood against the wall and a few desk items reasonably arranged.
v1_frozen_136,A33 A single attach,A33,IMG_20260918_104756.jpg,A33 A single attach/IMG_20260918_104756.jpg,CLEAN,CLEAN,correct,clean,books_bottles_personal|garbage_debris,0.050775,"Floor clean and free of waste; bed covered, desks hold bottles and small items in order."
v1_frozen_136,A33 A single attach,A33,IMG_20260918_104801.jpg,A33 A single attach/IMG_20260918_104801.jpg,CLEAN,NOT_CLEAN,false_positive,clean,dirty_floor_surface|garbage_debris|scattered_clothes,0.767724,"No dirt, residue or waste visible; helmet and a few clothes rest on the made bed."
v1_frozen_136,A33 A single attach,A33,IMG_20260918_104805.jpg,A33 A single attach/IMG_20260918_104805.jpg,CLEAN,NOT_CLEAN,false_positive,clean,garbage_debris|scattered_clothes,0.288222,Floor clean with no waste; clothes and helmet on the bed are normal belongings.
v1_frozen_136,A33 A single attach,A33,IMG_20260918_104828.jpg,A33 A single attach/IMG_20260918_104828.jpg,CLEAN,CLEAN,correct,clean,books_bottles_personal|dirty_floor_surface|garbage_debris,0.019731,Wardrobe area clean with one bottle standing on the floor; no debris or residue.
v1_frozen_136,A33 C double common,A33,A33 C double Common.jpg,A33 C double common/A33 C double Common.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris|packing_material,0.001417,"Bed with blanket, small carton on the side table and towels at the window; nothing dirty or discarded visible."
v1_frozen_136,A33 C double common,A33,IMG_20260918_105110.jpg,A33 C double common/IMG_20260918_105110.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris,0.012652,"Floor clean with no waste; desk and chair clear, blanket left bunched on the bed only."
v1_frozen_136,A33 C double common,A33,IMG_20260918_105117.jpg,A33 C double common/IMG_20260918_105117.jpg,CLEAN,CLEAN,correct,clean,bedding,0.003236,"Tiles clean, no housekeeping dirt; bedding loose on the bed."
v1_frozen_136,A33 C double common,A33,IMG_20260918_105124.jpg,A33 C double common/IMG_20260918_105124.jpg,CLEAN,CLEAN,correct,clean,books_bottles_personal|garbage_debris|scattered_bags,0.001009,"Suitcase stored on the wardrobe and a bottle above; floor clean, no waste."
v1_frozen_136,A33 C double common,A33,IMG_20260918_105135.jpg,A33 C double common/IMG_20260918_105135.jpg,CLEAN,CLEAN,correct,clean,cables_electronics|garbage_debris,0.010178,Desks and chairs in place with a cable along the floor; no waste or dirt visible.
v1_frozen_136,A33 C double common,A33,IMG_20260918_105143.jpg,A33 C double common/IMG_20260918_105143.jpg,CLEAN,NOT_CLEAN,false_positive,clean,scattered_clothes,0.356783,A few clothes on the bed and a weighing scale on the floor; floor clean.
v1_frozen_136,A33 C double common,A33,IMG_20260918_105157.jpg,A33 C double common/IMG_20260918_105157.jpg,NOT_CLEAN,CLEAN,false_negative,garbage_debris,garbage_debris|packing_material|scattered_bags,0.005255,"A large crumpled brown packing cover lies discarded on the floor beside the suitcase - visible waste material, so the area is not clean. Tiles themselves are clean."
v1_frozen_136,A33 C double common,A33,IMG_20260918_105203.jpg,A33 C double common/IMG_20260918_105203.jpg,NOT_CLEAN,NOT_CLEAN,correct,garbage_debris,garbage_debris|packing_material,0.289563,Closer view of the same discarded packing cover spread loose across the floor.
v1_frozen_136,A33 C double common,A33,IMG_20260918_105215.jpg,A33 C double common/IMG_20260918_105215.jpg,CLEAN,CLEAN,correct,clean,dirty_floor_surface|garbage_debris|scattered_clothes,0.008124,"Cabinet with utensils, clothes on a hook, scale on the floor; no waste or residue."
v1_frozen_136,A33 C double common,A33,IMG_20260918_105219.jpg,A33 C double common/IMG_20260918_105219.jpg,CLEAN,NOT_CLEAN,false_positive,clean,scattered_clothes,0.111648,Floor clean and clear; clothes hanging behind the door.
v1_frozen_136,A33 C double common,A33,IMG_20260918_105224.jpg,A33 C double common/IMG_20260918_105224.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|packing_material|scattered_bags,0.058236,Carton and luggage stored beside the bed; no garbage or dirt visible.
v1_frozen_136,A33 C double common,A33,IMG_20260918_105241.jpg,A33 C double common/IMG_20260918_105241.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,3.6e-05,"Window wall and doorway; floor clean, nothing discarded."
v1_frozen_136,A33 C double common,A33,IMG_20260918_105245.jpg,A33 C double common/IMG_20260918_105245.jpg,CLEAN,CLEAN,correct,clean,scattered_bags,0.020245,"Wide view: bed made, suitcase on the wardrobe, floor clean."
v1_frozen_136,A34 A single attach,A34,A34 A Single attach.jpg,A34 A single attach/A34 A Single attach.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris,0.002249,Bed corner with folded bedding; no waste and the visible floor is clean.
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104319.jpg,A34 A single attach/IMG_20260918_104319.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|scattered_bags,0.017617,"Desk, paper bags and stool kept together in the corner; floor clean, no waste."
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104324.jpg,A34 A single attach/IMG_20260918_104324.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.001198,Large open floor area clean and clear of debris.
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104330.jpg,A34 A single attach/IMG_20260918_104330.jpg,CLEAN,CLEAN,correct,clean,,0.000344,Desk with computer and towel folded on the chair; floor clean.
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104334.jpg,A34 A single attach/IMG_20260918_104334.jpg,CLEAN,CLEAN,correct,clean,dirty_floor_surface|garbage_debris|scattered_clothes,0.000145,Bed made with a few clothes on it; no waste or residue.
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104337.jpg,A34 A single attach/IMG_20260918_104337.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.000964,"Bed covered, floor clean, nothing discarded."
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104358.jpg,A34 A single attach/IMG_20260918_104358.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|packing_material,0.06701,Desk in use with a box stored underneath; no debris on the floor.
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104414.jpg,A34 A single attach/IMG_20260918_104414.jpg,CLEAN,CLEAN,correct,clean,scattered_bags,0.000629,Doorway with doormat and luggage against the wall; floor clean.
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104444.jpg,A34 A single attach/IMG_20260918_104444.jpg,CLEAN,CLEAN,correct,clean,,0.01219,"Utility corner with ironing board, rack and bucket arranged along the wall; floor clean."
v1_frozen_136,A34 A single attach,A34,IMG_20260918_104514.jpg,A34 A single attach/IMG_20260918_104514.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.023897,Storage corner kept in order; no waste or dirt visible.
v1_frozen_136,A34 B double attach,A34,A34 B double attach.jpg,A34 B double attach/A34 B double attach.jpg,NOT_CLEAN,NOT_CLEAN,correct,belongings_unorganized_floor_clean,books_bottles_personal|packing_material|scattered_clothes,0.256687,"Tiles are clean with no housekeeping dirt, but clothes are dumped over a chair and over storage boxes with cartons and a jar crowding the corner - the room looks untidy."
v1_frozen_136,A34 B double attach,A34,IMG_20260918_103815.jpg,A34 B double attach/IMG_20260918_103815.jpg,NOT_CLEAN,CLEAN,false_negative,belongings_unorganized_floor_clean,bedding|scattered_bags|scattered_clothes|shoes,0.00507,"Tiles clean, but five-plus pairs of shoes and a slipper lie spread across the floor, a yellow bag is dropped on the tiles and clothes are strewn over a bare mattress."
v1_frozen_136,A34 B double attach,A34,IMG_20260918_103820.jpg,A34 B double attach/IMG_20260918_103820.jpg,NOT_CLEAN,CLEAN,false_negative,belongings_unorganized_floor_clean,bedding|books_bottles_personal|scattered_bags|scattered_clothes|shoes,0.034952,"Clothes heaped over both mattresses, shoes and a bag on the floor, a packet left on the mattress; floor itself clean."
v1_frozen_136,A34 B double attach,A34,IMG_20260918_103827.jpg,A34 B double attach/IMG_20260918_103827.jpg,NOT_CLEAN,NOT_CLEAN,correct,belongings_unorganized_floor_clean,bedding|scattered_clothes|shoes,0.246638,"Clothes and a steel vessel dumped on the chair, slippers loose on the floor, mattress standing across the bathroom doorway."
v1_frozen_136,A34 B double attach,A34,IMG_20260918_103844.jpg,A34 B double attach/IMG_20260918_103844.jpg,NOT_CLEAN,CLEAN,false_negative,belongings_unorganized_floor_clean,books_bottles_personal,0.001939,"A cloth is thrown over the chair and trails onto the floor, with further scattered items and bottles visible in the room beyond."
v1_frozen_136,A34 B double attach,A34,IMG_20260918_103854.jpg,A34 B double attach/IMG_20260918_103854.jpg,NOT_CLEAN,NOT_CLEAN,correct,dirty_floor_or_surface,bedding|dirty_floor_surface|scattered_bags|scattered_clothes|shoes,0.702538,"Two open suitcases on the floor with contents spilling out, shoes scattered around them, clothes heaped on the mattress."
v1_frozen_136,A34 B double attach,A34,IMG_20260918_103858.jpg,A34 B double attach/IMG_20260918_103858.jpg,NOT_CLEAN,NOT_CLEAN,correct,belongings_unorganized_floor_clean,bedding|scattered_bags|scattered_clothes|shoes,0.76757,"Open suitcase tipped onto the floor, yellow bag and slipper on the tiles, clothes across both mattresses."
v1_frozen_136,A34 B double attach,A34,IMG_20260918_104015.jpg,A34 B double attach/IMG_20260918_104015.jpg,NOT_CLEAN,NOT_CLEAN,correct,belongings_unorganized_floor_clean,books_bottles_personal|packing_material|scattered_clothes,0.29437,Clothes draped over two chairs with a carton and jar on the floor corner; tiles clean but the corner is unarranged.
v1_frozen_136,A34 B double attach,A34,IMG_20260918_104031.jpg,A34 B double attach/IMG_20260918_104031.jpg,NOT_CLEAN,NOT_CLEAN,correct,belongings_unorganized_floor_clean,scattered_bags|scattered_clothes|shoes,0.681812,"Clothes over chairs, open suitcase on the floor, shoes below the bed; the room looks visibly untidy."
v1_frozen_136,B41 B double attach,B41,B41  B Double attach.jpg,B41 B double attach/B41  B Double attach.jpg,CLEAN,NOT_CLEAN,false_positive,clean,books_bottles_personal|cables_electronics|garbage_debris,0.370411,"Desk with laptop and bottles, towel on the chair; floor clean and clear of waste."
v1_frozen_136,B41 B double attach,B41,B41 B double attach. .jpg,B41 B double attach/B41 B double attach. .jpg,CLEAN,CLEAN,correct,clean,garbage_debris|scattered_bags|shoes,0.007786,"Backpack kept on the floor and footwear on a rack; tiles clean, no debris."
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111705.jpg,B41 B double attach/IMG_20260918_111705.jpg,CLEAN,NOT_CLEAN,false_positive,clean,bedding|dirty_floor_surface|garbage_debris|scattered_bags|shoes,0.348288,"Bed with bedding, suitcase beside it and shoes under the bed; no waste or residue."
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111711.jpg,B41 B double attach/IMG_20260918_111711.jpg,CLEAN,CLEAN,correct,clean,bedding|shoes,0.044514,Bedding pulled back and shoes kept under the bed; floor clean.
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111715.jpg,B41 B double attach/IMG_20260918_111715.jpg,CLEAN,CLEAN,correct,clean,dirty_floor_surface|garbage_debris,0.003818,Study corner in use with a towel on the chair; no residue or debris.
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111718.jpg,B41 B double attach/IMG_20260918_111718.jpg,CLEAN,CLEAN,correct,clean,books_bottles_personal|cables_electronics|scattered_clothes|shoes,0.044546,"Laptop and bottles on the desk, clothes on the bed, slippers at the bedside - reasonably placed."
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111720.jpg,B41 B double attach/IMG_20260918_111720.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris,0.020317,Towel hanging to dry and pillow on the bed; nothing discarded.
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111728.jpg,B41 B double attach/IMG_20260918_111728.jpg,CLEAN,CLEAN,correct,clean,scattered_bags|shoes,0.024225,"Doormat at the door, suitcase and shoes stored beside the bed; floor clean."
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111733.jpg,B41 B double attach/IMG_20260918_111733.jpg,CLEAN,CLEAN,correct,clean,,0.010558,Wardrobes with containers stored on top; floor clean and clear.
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111738.jpg,B41 B double attach/IMG_20260918_111738.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|scattered_clothes,0.003557,"Iron kept on the shelf and clothes hanging; floor clean, no waste."
v1_frozen_136,B41 B double attach,B41,IMG_20260918_111743.jpg,B41 B double attach/IMG_20260918_111743.jpg,CLEAN,NOT_CLEAN,false_positive,clean,shoes,0.18181,Tiles clean; shoes under the bed and towel on the chair.
v1_frozen_136,B41 C double common,B41,IMG_20260918_110949.jpg,B41 C double common/Kitchen/IMG_20260918_110949.jpg,NOT_CLEAN,NOT_CLEAN,correct,kitchen_dirt,dirty_floor_surface|garbage_debris|kitchen_dirt|scattered_bags,0.482249,"Kitchen surfaces show visible dirty conditions: dried spilled residue across the fridge top, a tray and plastic bags of waste left on the counter, and a cloth lying on the floor."
v1_frozen_136,B41 C double common,B41,IMG_20260918_111002.jpg,B41 C double common/Kitchen/IMG_20260918_111002.jpg,NOT_CLEAN,NOT_CLEAN,correct,kitchen_dirt,books_bottles_personal|dirty_floor_surface|kitchen_dirt,0.997108,Counter slab is stained and greasy along its length with food residue around the induction plate; vessels and jars sit in the residue and a cloth is dropped on the floor by the bin.
v1_frozen_136,B41 C double common,B41,IMG_20260918_111005.jpg,B41 C double common/Kitchen/IMG_20260918_111005.jpg,NOT_CLEAN,NOT_CLEAN,correct,kitchen_dirt,dirty_floor_surface|kitchen_dirt,0.421187,"Sink and surrounding slab show residue and grime, and a dirty cloth lies on the floor beside the washing machine."
v1_frozen_136,B41 C double common,B41,IMG_20260918_111008.jpg,B41 C double common/Kitchen/IMG_20260918_111008.jpg,CLEAN,NOT_CLEAN,false_positive,clean,garbage_debris|kitchen_dirt|scattered_clothes,0.334271,"Kitchen/utility area is clean with no visible housekeeping dirt or waste; washing machine, shoe rack and clothes on a stool are normal household use."
