room_id,sub_area,image_index,image_file,image_path,final_label,floor_tile_condition,overall_neatness,evidence_reason,maintenance_note,room_final_label,room_confidence,room_evidence_reason
A33 A single attach,Room,1,A33 A Single attach. .jpg,D:\data science\CNN\A33 A single attach\A33 A Single attach. .jpg,CLEAN,CLEAN,NEAT,Tiles are clean with only a doormat; no visible housekeeping dirt or waste.,,CLEAN,HIGH,"Floors clean in every frame, no waste or residue; belongings (clothes on bed, helmet, bag, bottle) reasonably placed."
A33 A single attach,Room,2,IMG_20260918_104751.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104751.jpg,CLEAN,CLEAN,NEAT,Open floor clean with no debris; suitcase stood against the wall and a few desk items reasonably arranged.,,CLEAN,HIGH,"Floors clean in every frame, no waste or residue; belongings (clothes on bed, helmet, bag, bottle) reasonably placed."
A33 A single attach,Room,3,IMG_20260918_104756.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104756.jpg,CLEAN,CLEAN,NEAT,"Floor clean and free of waste; bed covered, desks hold bottles and small items in order.",,CLEAN,HIGH,"Floors clean in every frame, no waste or residue; belongings (clothes on bed, helmet, bag, bottle) reasonably placed."
A33 A single attach,Room,4,IMG_20260918_104801.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104801.jpg,CLEAN,CLEAN,NEAT,"No dirt, residue or waste visible; helmet and a few clothes rest on the made bed.",,CLEAN,HIGH,"Floors clean in every frame, no waste or residue; belongings (clothes on bed, helmet, bag, bottle) reasonably placed."
A33 A single attach,Room,5,IMG_20260918_104805.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104805.jpg,CLEAN,CLEAN,NEAT,Floor clean with no waste; clothes and helmet on the bed are normal belongings.,,CLEAN,HIGH,"Floors clean in every frame, no waste or residue; belongings (clothes on bed, helmet, bag, bottle) reasonably placed."
A33 A single attach,Room,6,IMG_20260918_104828.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104828.jpg,CLEAN,CLEAN,NEAT,Wardrobe area clean with one bottle standing on the floor; no debris or residue.,,CLEAN,HIGH,"Floors clean in every frame, no waste or residue; belongings (clothes on bed, helmet, bag, bottle) reasonably placed."
A33 C double common,Room,1,A33 C double Common.jpg,D:\data science\CNN\A33 C double common\A33 C double Common.jpg,CLEAN,NOT_FULLY_VISIBLE,NEAT,"Bed with blanket, small carton on the side table and towels at the window; nothing dirty or discarded visible.",,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,2,IMG_20260918_105110.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105110.jpg,CLEAN,CLEAN,NEAT,"Floor clean with no waste; desk and chair clear, blanket left bunched on the bed only.",,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,3,IMG_20260918_105117.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105117.jpg,CLEAN,CLEAN,NEAT,"Tiles clean, no housekeeping dirt; bedding loose on the bed.",,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,4,IMG_20260918_105124.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105124.jpg,CLEAN,CLEAN,NEAT,"Suitcase stored on the wardrobe and a bottle above; floor clean, no waste.",,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
